objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,ben_hem0001.jpg,Récord Nacional de Aguja Azul,,04/13/1969,Recorte sobre Freddy Benarroch quien capturó una aguja azul de 359 kilos con línea de 80 libras en el primer día de pesca del Clásico Aguja Azul celebrado en el Playa Grande Yatching Club ,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Univeral,ben_hem0001,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll002,ben_hem0002.jpg,Aguja de más de 350 kilos y cuatro metros de largo pascada en el Clásico Nacional,Atilano Hidalgo y Pablo Blanco,04/1969,"Recorte sobre una aguja azul de 359 kilos con 3,84 metros de longitud y 1,88 metros de circunferencia capturada por Freddy Benarroch en el X Clásico Nacional celebrado en el Playa Grande Yatching Club ","Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,--,ben_hem0002,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll003,ben_hem0003.jpg,[Récord Nacional de Aguja Azul],José Sardá,04/1969,"Fotografía de prensa de ""Freddy Benarroch, campeón de pesca junto a la aguja azul que registró la hazaña náutica del año"".","Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,[El Nacional],ben_hem0003,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll004,ben_hem0004.jpg,"Benarroch, Atleta Náutico del Año",,01/02/1970,"Recorte sobre los atletas, dirigentes y entidades del año 1969 escogidos por el Círculo de Cronistas Deportivos","Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Círculo de Cronistas Deportivos--Venezuela;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0004,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll005,ben_hem0005.jpg,Playa Grande Yatching Club ganó el Décimo Clásico Aguja Azul,Longobardo Lossada Roa y Oswaldo Tejada,04/1969,Recorte sobre los resultados finales del X Clásico Nacional de Aguja Azul celebrado en el Playa Grande Yatching Club dondo Freddy Benarroch ganó en la categoría individual,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,[El Nacional],ben_hem0005,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll006,ben_hem0006.jpg,Freddy Benarroch y la Mako ganaron concurso de aguja azul,Longobardo Lossada Roa y Oswaldo Tejada,04/1969,Fotografía de prensa el equipo de la Mako y Freddy Benarroch ganadores del X Clásico Nacional de Aguja Azul,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,[El Nacional],ben_hem0006,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll008,ben_hem0008.jpg,"19 agujas, 7 peces vela y 2 tiburones en los primeros días del clasico anual",,10/4/1956,Recorte de prensa sobre los primeros resultados del Clásico Anual de Pesca de Agujas ,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Azul;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,--,ben_hem0008,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll009,ben_hem0009.jpg,Hoy comienza concurso de pesca,,09/13/1957,Recorte de prensa sobre el I Campeonato Nacional de Pesca de Aguja ,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Campeonato Naciomal de Pesca de Aguja; Jaén, Rubén;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0009,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll010,ben_hem0010.jpg,El concurso que mañana comienza es un paso hacia el internacional ,Martín Pescador,09/12/1957,Recorte de prensa sobre el significado del I Campeonato Nacional de Pesca de Aguja para la pesca deportiva en Venezuela,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Campeonato Naciomal de Pesca de Aguja; Jaén, Rubén;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0010,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll011,ben_hem0011.jpg,Arrecifes adelante en el concurso,Saúl Pérez Lozano y Miguel Sardá,09/14/1957,Recorte de prensa sobre el primer día del I Campeonato Nacional de Pesca de Aguja donde Freddy Benarroch y Rubén Jaén salieron adelante con 8 agujas blancas,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Campeonato Naciomal de Pesca de Aguja; Jaén, Rubén;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0011,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll012,ben_hem0012.jpg,"Jaén declara en exclusiva cómo triunfó la ""Estrella II""",Martín Pescador,09/19/1957,Entrevista a Rubén Jaén sobre su triunfo en el I Campeonato Nacional de Pesca de Aguja junto a Freddy Benarroch,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Campeonato Naciomal de Pesca de Aguja; Jaén, Rubén;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0012,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll013,ben_hem0013.jpg,Jaén y Benarroch campeones de pesca totalizaron 621 kilos,,09/16/1957,Recorte de prensa sobre el I Campeonato Nacional de Pesca de Aguja donde Freddy Benarroch y Rubén Jaén salieron vencedores,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Campeonato Naciomal de Pesca de Aguja; Jaén, Rubén;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,La Esfera,ben_hem0013,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll014,ben_hem0014.jpg,"Jaén, Benarroch y Benaím campeones nacionales de pesca con 621 puntos",Longobardo Lossada Roa y Miguel Sardá,09/16/1957,Recortes de prensa sobre eI I Campeonato Nacional de Pesca de Aguja donde Freddy Benarroch y Rubén Jaén salieron campeones,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Campeonato Naciomal de Pesca de Aguja; Jaén, Rubén;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0014,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll015,ben_hem0015.jpg,"La ""Estrella II"" aumentó su ventaja",,09/15/1957,"Fotografías de prensa de algunos de los participantes del I Campeonato Nacional de Pesca de Aguja donde la lancha ""Estrella II"" con los pescadores Freddy Benarroch y Rubén Jaén aumentan su ventaja en el segundo día de competencia","Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Campeonato Naciomal de Pesca de Aguja; Jaén, Rubén;","Playa Grande, Estado Vargas, Venezuela",10.60884,-67.015990,El Nacional,ben_hem0015,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
coll016,ben_hem0016.jpg,Una aguja blanca atacó e hirió a Freddy Benarroch,,09/15/1964,Recorte sobre el peligroso accidenteque sufrió Freddy Benarroch al ser atacado por una aguja y resultados del Clásico Aguja Blanca,"Benarroch, Freddy; sport fishing; competitive fishing;  national records--Venezuela; Clásico Aguja Blanca;","Caraballeda, Estado Vargas, Venezuela",10.61216,-66.85192,El Universal,ben_hem0039,Image; StillImage,image/jpeg,spa,This material is protected by copyright. Copyright is held by Archivo Famila Benarroch,https://rightsstatements.org/en/
